ID,Name,HOF,FY,LY,SP,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP
cashda01,"Cash, Dave",N,1969,1980,12,2B,0.25,1422,5554,732,1571,243,56,21,426,120,74,424,309,28,18,30,31,124,299,544,283,358,334
cashno01,"Cash, Norm",N,1958,1974,17,1B,0.24,2089,6705,1046,1820,241,41,377,1103,43,30,1043,1091,112,90,17,55,139,282,1086,271,488,374
castial01,"Castillo, Alberto",N,1995,2007,12,C,0,418,1026,98,226,39,2,12,101,3,6,103,219,1,7,26,11,21,41,106,220,297,293
castica01,"Castillo, Carmelo",N,1982,1991,10,OF,0,631,1519,190,383,71,8,55,197,15,11,90,291,5,13,7,11,34,79,105,252,418,298
castivi02,"Castilla, Vinny",N,1991,2006,16,3B,0.12,1854,6822,902,1884,349,28,320,1105,33,43,423,1069,64,60,8,71,224,377,456,276,476,321
caterda01,"Cater, Danny",N,1964,1975,12,1B,0,1289,4451,491,1229,191,29,66,519,26,30,254,406,33,22,22,36,160,220,280,276,377,316
causewa01,"Causey, Wayne",N,1955,1968,11,SS,0,1105,3244,357,819,130,26,35,285,12,12,390,341,25,15,41,31,59,156,402,252,341,333
cedence01,"Cedeno, Cesar",N,1970,1986,17,OF,0.24,2006,7310,1084,2087,436,60,199,976,550,179,664,938,83,56,32,71,167,496,1214,285,443,347
cedenro01,"Cedeno, Roger",N,1995,2005,11,OF,0,1100,3174,478,865,127,32,40,274,213,63,319,613,14,13,33,18,44,159,532,273,371,340
cepedor01,"Cepeda, Orlando",Y,1958,1974,17,1B,0.41,2124,7927,1131,2351,417,27,379,1365,142,80,588,1169,154,102,4,74,218,444,730,297,499,350
ceronri01,"Cerone, Rick",N,1975,1992,18,C,0,1329,4069,393,998,190,15,59,436,6,22,320,450,9,24,48,43,118,205,326,245,343,301
cervbo01,"Cerv, Bob",N,1951,1962,12,OF,0.08,829,2261,320,624,96,26,105,374,12,10,212,392,19,17,6,20,73,122,224,276,481,340
